2025-11-06 10:56:54.745 [info] Starting Python Locator /root/.vscode-server/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-11-06 10:56:55.702 [info] Discovered env: /bin/python3
2025-11-06 10:56:55.707 [info] Discovered env: /usr/bin/python3
2025-11-06 12:11:24.935 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 12:12:00.994 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 12:12:36.566 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 12:13:14.526 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:00:35.216 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:03:02.554 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:03:41.416 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:04:11.589 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:09:40.708 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:11:24.218 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:12:57.697 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:13:44.281 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:14:21.270 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:17:19.371 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:18:00.118 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:19:35.472 [info] Resolved Python Environment /usr/bin/python3
2025-11-06 14:22:29.357 [info] Resolved Python Environment /usr/bin/python3
